,variable,relative_importance,scaled_importance,percentage
80,"geometry.MULTIPOLYGON(((10.8581643801281 60.0458535797903, 10.858153842109 60.0458486769609, 10.8581791611929 60.045852473088, 10.8581643801281 60.0458535797903)), ((10.8642186465408 60.0481405654905, 10.8642078573252 60.0481316958033, 10.8649089817007 60.048052129131, 10.8645990388809 60.0481895264153, 10.8642186465408 60.0481405654905)), ((10.8673992981798 60.0475402408361, 10.8670500731712 60.0475101173092, 10.8681285448671 60.0467687218096, 10.8689953677314 60.046427571012, 10.8697429215752 60.0454401977561, 10.8702593406089 60.0458030859968, 10.870662480487 60.0466377892883, 10.8721157754502 60.0465031415802, 10.8721007995139 60.0465120634572, 10.8719060855487 60.046650278041, 10.8718362909409 60.0466779450172, 10.8717513333079 60.0466759172384, 10.871598609909 60.0466580137703, 10.8711484814472 60.0466736940075, 10.8707670963722 60.0467692947663, 10.8705275983766 60.0467854482575, 10.8701387910438 60.0466874202568, 10.8698666802641 60.0467027319458, 10.8694637914616 60.046878214874, 10.8693788656902 60.0469635784037, 10.8692606135041 60.0470983380537, 10.8689638877525 60.0472557435291, 10.8687393052381 60.0474040778393, 10.8685084035939 60.0474491779144, 10.8682274809532 60.0475707531353, 10.8678516330976 60.0475846117394, 10.8673992981798 60.0475402408361)), ((10.8765420093419 60.0444018111076, 10.8762900622286 60.044323103916, 10.8761371035513 60.0439547107591, 10.8777732549268 60.0429409117813, 10.8776070605899 60.042754663526, 10.8763208308855 60.0424180025761, 10.8758916013509 60.0415014576022, 10.8746730696291 60.0397572650423, 10.875172117673 60.039120743827, 10.8752294371929 60.0391191035779, 10.8752886619953 60.0391082774524, 10.8753612578087 60.0390925645652, 10.8754016503511 60.0390713497287, 10.8754311213279 60.0390354081065, 10.8754820977749 60.0389927660519, 10.8755303668809 60.0389617275382, 10.8755697075774 60.0389446155963, 10.875610771339 60.0389266584029, 10.8756835571434 60.0389166155534, 10.8757879751144 60.0389080107395, 10.8759342630764 60.038895139913, 10.8760201303038 60.0388551278641, 10.8769298464998 60.0391296048737, 10.8771821980763 60.04099043582, 10.8787176798293 60.0408604660993, 10.8791820103823 60.0404165916436, 10.8804516973869 60.0401794315937, 10.8803988835568 60.0386169425853, 10.8804790419424 60.0386212557104, 10.8805419482663 60.0386241184143, 10.8806271770207 60.0386266888676, 10.8806990121584 60.0386285714783, 10.8807582256378 60.0386293408204, 10.8808431965954 60.0386296553693, 10.8809180072942 60.0386278545698, 10.8809796821909 60.0386276217334, 10.8810589006314 60.038622182261, 10.8811148245826 60.0386233882264, 10.88117086312 60.0386366455068, 10.8812558961247 60.0386638444186, 10.8813090489684 60.0386815070107, 10.881358396267 60.0386936562952, 10.8814190457717 60.0387102940783, 10.8814833747677 60.0387190447894, 10.8815654314186 60.0387441726167, 10.8816197930946 60.0387622324358, 10.8816720525171 60.038785621147, 10.8817421364729 60.038808756882, 10.8818300191706 60.038817433242, 10.8818955084875 60.0388111153023, 10.8819592720004 60.0387941342606, 10.8820020504783 60.0387566285778, 10.8820352401572 60.038721071397, 10.8820721926176 60.0386985784615, 10.8821137223426 60.038679734776, 10.8821742269158 60.0386528519105, 10.8822482631029 60.0386414059683, 10.8823344557247 60.0386059740464, 10.8823820360475 60.0385775190287, 10.882428454294 60.0385555011578, 10.8824824847819 60.0385473868815, 10.8825569933949 60.0385465647273, 10.8826470994364 60.0385446107974, 10.8827428793387 60.0385461604372, 10.8827996433554 60.0385507185154, 10.8828839658487 60.0385533491457, 10.8829792533656 60.0385545236178, 10.883045415435 60.0385557784296, 10.8830842735644 60.0385886384465, 10.8830938040881 60.0386188753075, 10.8831308365221 60.0386447553954, 10.8831831609795 60.0386575363079, 10.8832625660409 60.0386794335407, 10.883329113326 60.0386963443095, 10.8833834365879 60.0386945323951, 10.8834465857635 60.0387228453991, 10.8834278817102 60.0387762970077, 10.8834414860571 60.0388084590796, 10.8835031697655 60.0388369960648, 10.8835545603875 60.0388688083026, 10.8836187439022 60.038874406617, 10.8836692476981 60.0388585396229, 10.8836844438065 60.0388245786325, 10.8837257666881 60.0387900839195, 10.8837825840458 60.038784123929, 10.8838543781906 60.0387964329199, 10.883853519375 60.0387687143089, 10.8839911301544 60.038749000664, 10.8848549509548 60.0386432341031, 10.8851256656579 60.038748146988, 10.8853351079691 60.0386885045713, 10.8854459442475 60.0384537927593, 10.8856083152391 60.0384675761002, 10.8857637393874 60.0383928526046, 10.8858349588616 60.0383636049175, 10.8859185607958 60.0383850020064, 10.8861301986567 60.0384317884802, 10.8861848513641 60.0384446407616, 10.8862946863743 60.0384502222831, 10.8863462232893 60.038449131482, 10.8864202659161 60.0384592614487, 10.8864954541172 60.0384803959015, 10.8865530356689 60.0384856071963, 10.8866108498087 60.0384846220375, 10.886666835147 60.0384709027735, 10.8866811997749 60.0384363761387, 10.8866665868343 60.038407959178, 10.8866422299739 60.0383841834727, 10.8866446632494 60.0383401143057, 10.8866272182445 60.0382796016884, 10.8866814028373 60.0382399326891, 10.8867533730161 60.0382161923377, 10.8868019574004 60.0381911836273, 10.8868237940183 60.0381514953625, 10.8868501242446 60.0381291196439, 10.8868480809655 60.0380834724235, 10.886855888718 60.0380496405008, 10.8868676796536 60.0380155730882, 10.8869017873888 60.0379682654237, 10.8869042453098 60.0379591275507, 10.8869071940931 60.0379641496018, 10.8890739546356 60.0382466943424, 10.88926477143 60.038394151087, 10.8893078468668 60.0386025514362, 10.8893183400752 60.0387882690154, 10.8891434976239 60.038984397165, 10.8887973817338 60.0391674576887, 10.8884531667032 60.0393814151335, 10.8881578766615 60.0396412208724, 10.8880369040977 60.0399160687706, 10.8877164509761 60.0401847776917, 10.8881212333373 60.0407212765667, 10.8881287898789 60.0407438487559, 10.8887049475417 60.0415385152825, 10.8889503055338 60.0417376626439, 10.8892516532394 60.0418191552884, 10.8897056676836 60.0418438146964, 10.8902345412284 60.0418129027392, 10.8907294501015 60.0417357074068, 10.8908805201916 60.0416788215651, 10.891529352596 60.0417666219546, 10.8921943761932 60.0414609220474, 10.8924645804405 60.0415081277723, 10.8929737792013 60.0416801443522, 10.8932656888394 60.0418708418388, 10.8936988618726 60.0423478850427, 10.8938097178678 60.0426503677682, 10.8939359998769 60.0432176595495, 10.8941293508867 60.0435968822789, 10.8942563566526 60.0439068796344, 10.8942673872179 60.0441015137292, 10.8941663396089 60.0442433918614, 10.8939668693745 60.0443007515738, 10.8939227887025 60.044305539791, 10.8931696448586 60.0439243475835, 10.8930144166224 60.0438257758631, 10.8929221438133 60.0438262375592, 10.892759662135 60.043663235001, 10.8924682032598 60.0434803727131, 10.8922635620928 60.0434521562799, 10.8920139848636 60.0434557169827, 10.8917517423351 60.0435061746206, 10.8914629549568 60.0436428364551, 10.8912388130385 60.0438175632773, 10.891234105234 60.0438346838266, 10.8901326168696 60.0438401952322, 10.8884885368975 60.0446527270805, 10.8882545200002 60.044587990935, 10.8877858834233 60.0439802419714, 10.8863202555021 60.0437478627211, 10.8858674656822 60.0443723132027, 10.8867423352746 60.0448152221105, 10.8862705288373 60.0467438827367, 10.8865061521881 60.0468631638171, 10.8865027642738 60.0468643073567, 10.8859055080459 60.0469441426591, 10.8852366337086 60.0469321939798, 10.8844363975554 60.0468794634832, 10.8839028848019 60.0469540846429, 10.8834924871943 60.0470058405143, 10.8831131242567 60.0468937608047, 10.8831365427641 60.0467881294564, 10.8831408962625 60.0465412865617, 10.8823720170083 60.0465586609658, 10.881999264146 60.0467193868715, 10.8819012667236 60.0467166890985, 10.8819535772819 60.0469977569944, 10.881967380214 60.0472474141949, 10.8808041895976 60.0470649279166, 10.8805631648624 60.0473930349564, 10.8804446441211 60.0474164884075, 10.8799519435731 60.0477473487183, 10.8798514444028 60.047792043183, 10.8796970360318 60.0479978794496, 10.8795969134349 60.048025143209, 10.8794756815042 60.0482604260453, 10.8791674822697 60.0485359952, 10.879084700114 60.048598594638, 10.8788522279894 60.0487427431014, 10.8781828654594 60.0488496035194, 10.8776287810429 60.0488236691851, 10.8771444250081 60.0485143599534, 10.8771294620398 60.0480266765814, 10.8772602756582 60.0478745907877, 10.8771498077538 60.0475067398645, 10.8771182301659 60.046959197644, 10.8772805310644 60.0466628926413, 10.8773283325119 60.0465550565303, 10.877260821562 60.0463039003642, 10.8774040000479 60.0459850602429, 10.8774289720968 60.0457965821049, 10.8774526866917 60.045572101154, 10.8776391614538 60.0453743717376, 10.8775717527972 60.0451411107613, 10.8774505930763 60.0449078791335, 10.8774970678245 60.0447732087379, 10.8771463734437 60.0446075215442, 10.8765420093419 60.0444018111076)))",9.691892623901367,0.0016954175707571545,0.0007126573338026348
81,sales_channel_name_x.Computer stores,9.60977554321289,0.0016810527044858149,0.0007066191592113496
82,t_district.Stokke/Lura/TronesSandnes,9.037456512451172,0.0015809360628260428,0.0006645358045586882
83,sales_channel_name_x.Home textile shops,9.03511905670166,0.001580527168123803,0.0006643639284301578
84,"geometry.POLYGON((10.4112264247087 63.4334399746867, 10.411387085351 63.4333571074169, 10.4133107397017 63.4340493679664, 10.4137287190817 63.4341976792095, 10.4142405032287 63.4344159934877, 10.4114764135163 63.4356483677182, 10.4105065698008 63.4359837948908, 10.4088178067539 63.4367298726467, 10.4077787449444 63.4353071723086, 10.4095375508911 63.4348652246063, 10.4103148945808 63.434281278861, 10.4112243848106 63.4337082321604, 10.4109189086175 63.4336110083143, 10.4112264247087 63.4334399746867))",8.940143585205078,0.0015639129639208852,0.0006573802598197067
85,chain_name.FAGMØBLER NORGE,8.716926574707031,0.0015248652715478827,0.0006409668258564961
86,chain_name.MUDO,8.692296981811523,0.0015205567792671633,0.0006391557802035273
87,lv2_desc.Pubs and bars,8.487480163574219,0.0014847278606130564,0.0006240953360501355
88,sales_channel_name_x.Fish shops,8.150809288024902,0.0014258335104465213,0.0005993394934249009
89,"geometry.POLYGON((10.7266242768303 59.9132919345002, 10.7271722292207 59.913141576612, 10.7272853305191 59.9132046842409, 10.7274611640719 59.9132993213494, 10.7276790635751 59.9133996397186, 10.7281797564847 59.9136331335152, 10.7291272078899 59.9140908117472, 10.7295382921669 59.9142972042953, 10.7300004601094 59.9144573262592, 10.7302643047854 59.914511024276, 10.730597458194 59.9146245174984, 10.7308047624736 59.9146876201802, 10.7310499220678 59.9147696641445, 10.7313389224865 59.9148547479356, 10.7315778086261 59.9149368571633, 10.7318040813768 59.9150126223268, 10.7321306775169 59.9151103429835, 10.7323822315298 59.9151134637775, 10.7326210201863 59.9151796523606, 10.7323570176981 59.9151702837521, 10.7317538211213 59.9151987414937, 10.7292345444376 59.9152577465424, 10.7277148695153 59.9152845908156, 10.7273752339512 59.9149794436697, 10.726928217671 59.9146293571537, 10.7264455515721 59.9143601170065, 10.7261774468437 59.9141267956895, 10.7257484377409 59.9138664884163, 10.7255340064148 59.9137587262718, 10.7266242768303 59.9132919345002))",7.780417442321777,0.0013610402994980626,0.0005721041044803244
