,variable,relative_importance,scaled_importance,percentage
5124,remainder__address_first.HARDANGERVEGEN_Voss,0.004820478614419699,0.005663955944147772,3.157686154596512e-05
5125,remainder__address_first.NORDMØRSVEIEN_Kristiansund,0.00481079937890172,0.005652583056114856,3.151345707842787e-05
5126,remainder__address_first.ARMAUER HANSENS GATE_Oslo,0.004800916649401188,0.005640971067145234,3.144871961020199e-05
5127,remainder__address_first.STASJONSVEIEN_Skedsmo,0.004793968051671982,0.005632806618226386,3.140320236471989e-05
5128,remainder__address_first.LEKNESVEGEN_Lindås,0.004787808749824762,0.005625569574542589,3.136285545371656e-05
5129,remainder__address_first.KONG ØYSTEINS VEG_Trondheim,0.004780038725584745,0.00561643996760921,3.1311957399962754e-05
5130,remainder__address_first.NAUSTHAUGEN_Grong,0.004768304992467165,0.0056026530902565,3.123509481105658e-05
5131,remainder__address_first.JORDESHAGEN_Nes,0.004765518940985203,0.0055993795412763725,3.121684459796722e-05
5132,remainder__mall_name.Fevik Senter,0.004765069577842951,0.005598851549505384,3.1213901015210874e-05
5133,remainder__address_first.OSLOVEIEN_Moss,0.004760557319968939,0.005593549746126237,3.118434317385438e-05
5134,remainder__address_first.GURÅLIVEGEN_Halsa,0.004756317939609289,0.005588568567801803,3.115657283456548e-05
5135,remainder__address_first.REKTOR HERTZBERGS VEI_Bærum,0.0047476328909397125,0.005578363827365841,3.109968085323009e-05
5136,remainder__address_first.BEKKELAGSVEIEN_Oslo,0.00472694868221879,0.00555406033879016,3.0964187586438154e-05
5137,remainder__address_first.ALASKASVINGEN_Tromsø,0.004725526552647352,0.005552389367941872,3.09548718333419e-05
5138,remainder__municipality_name.Lurøy,0.004722643177956343,0.0055490014663398405,3.093598409818407e-05
5139,remainder__mall_name.Liertoppen Kjøpesenter,0.0047217863611876965,0.005547994725553707,3.093037146370564e-05
5140,remainder__address_first.VEGAMOT_Trondheim,0.004718620330095291,0.0055442747089205985,3.090963216923889e-05
5141,remainder__address_first.VESTRE KARMØYVEG_Karmøy,0.004715643357485533,0.0055407768318305175,3.089013131477119e-05
5142,remainder__mall_name.DIVI-gården,0.004715643357485533,0.0055407768318305175,3.089013131477119e-05
5143,remainder__address_first.FRIISEBRYGGA_Porsgrunn,0.004714151378720999,0.005539023789722489,3.088035800995115e-05
5144,remainder__address_first.SMEDBERGVEIEN_Oslo,0.004713708069175482,0.005538502910794012,3.087745408167753e-05
5145,remainder__municipality_name.Notodden,0.00471053970977664,0.005534780158452246,3.0856699535486656e-05
5146,remainder__address_first.HUNNSVEGEN_Gjøvik,0.004709976259618998,0.005534118116957016,3.085300861824813e-05
5147,remainder__address_first.HÅKON KYLLINGMARKS G_Vågan,0.004708786495029926,0.005532720169832793,3.0845214987219664e-05
5148,remainder__municipality_name.Hyllestad,0.004699887707829475,0.005522264291342029,3.0786922897609496e-05
5149,remainder__address_first.OPSTADVEIEN_Gjesdal,0.004696219228208065,0.005517953908780531,3.0762892281076325e-05
